"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 06:04:27 GMT 2024","Thu Mar 07 06:04:27 GMT 2024","735","chromium","example.spec.js","","","","has title",""
"passed","Thu Mar 07 06:04:27 GMT 2024","Thu Mar 07 06:04:28 GMT 2024","456","chromium","example.spec.js","","","","get started link",""
