"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 14:30:09 GMT 2024","Wed Mar 06 14:30:11 GMT 2024","1127","chromium","example.spec.js","","","","has title",""
"passed","Wed Mar 06 14:30:11 GMT 2024","Wed Mar 06 14:30:11 GMT 2024","442","chromium","example.spec.js","","","","get started link",""
